id_w1,ppethm,ppeducat,sex,ppincimp,ppwork,xparty7
506429,0,2,1,11,4,5
506431,1,3,1,10,0,6
506647,0,1,1,14,0,0
1008533,2,2,0,17,0,0
506880,0,3,0,18,0,5
506981,0,3,1,15,0,4
507142,0,3,0,17,1,4
508225,0,1,1,12,0,1
508699,0,3,0,16,0,3
508952,1,1,1,13,0,6
509571,0,2,1,15,6,1
510833,0,3,0,16,0,3
511723,0,1,1,13,4,6
512505,0,2,0,15,4,6
513472,0,3,0,18,1,1
513626,4,3,0,18,0,1
514115,4,1,1,11,0,1
514850,0,1,0,18,1,1
516008,0,3,1,17,0,6
517071,0,3,1,15,1,1
517942,1,3,0,14,0,2
519954,0,2,1,11,4,1
521672,0,1,0,11,4,1
521674,0,3,0,15,0,0
521987,3,2,1,19,0,5
522178,3,0,1,3,4,6
523643,0,2,1,0,4,4
524446,0,3,0,19,0,0
524497,0,2,1,11,0,5
524581,0,3,0,19,0,4
524751,3,1,1,12,0,4
524756,2,2,1,12,0,2
526022,0,3,1,14,4,2
526029,0,2,1,12,4,6
527127,0,2,1,6,6,1
527702,2,3,0,12,0,4
530569,0,2,1,7,3,2
531098,0,2,1,19,4,5
531894,0,3,0,12,0,0
532101,0,1,0,7,4,1
533720,0,3,0,15,0,6
533904,0,2,1,13,4,2
534102,0,3,0,15,0,0
535951,0,2,1,10,0,0
1439867,0,2,1,15,0,4
537916,0,1,0,7,0,1
539733,0,0,0,8,4,2
539897,0,1,0,16,0,6
543442,0,3,1,15,0,2
544140,0,1,1,19,4,0
544346,1,2,0,12,0,4
545010,0,3,0,14,4,6
546129,0,3,1,17,4,6
547295,0,1,1,12,0,5
1314167,0,3,1,15,0,5
1418996,1,2,1,12,5,6
552223,0,1,1,11,0,0
553479,0,3,0,20,0,0
553818,0,1,1,8,4,1
554171,2,2,0,12,3,5
554567,0,1,1,15,4,1
554865,0,3,1,15,0,4
557342,0,3,1,20,0,0
557755,0,3,0,15,0,2
557932,0,1,0,14,4,5
559363,0,1,1,15,4,4
559725,0,3,0,15,0,1
559944,0,3,1,15,6,1
560176,0,3,1,18,0,6
560252,0,1,0,14,0,0
560506,0,3,1,19,0,4
562239,0,2,0,11,0,0
1418532,3,3,0,13,0,4
562773,0,3,1,9,4,5
563076,0,3,1,12,0,5
564753,0,3,0,0,4,1
565153,0,1,1,7,4,6
1554352,0,2,0,15,0,5
565976,0,3,0,12,0,6
566082,0,2,1,7,0,4
566933,0,3,1,13,4,4
566990,0,1,1,9,0,4
567335,0,3,0,14,0,1
567337,0,3,1,19,0,6
567949,0,3,1,15,0,0
568080,0,3,0,17,4,1
568102,0,3,1,15,4,0
568843,0,3,0,16,0,0
568846,0,3,0,15,0,1
569568,0,3,1,8,0,6
570009,0,3,0,17,0,4
570232,0,3,0,1,0,4
570245,0,1,1,16,0,0
1158774,0,3,0,15,0,1
1189602,3,2,1,12,0,6
572356,0,2,1,10,4,2
572449,3,0,1,7,4,5
572459,0,2,1,15,0,2
572720,1,2,0,11,4,6
573140,0,1,1,12,0,4
573427,0,3,0,6,1,1
573592,0,3,1,17,4,0
574145,0,3,1,17,1,6
575388,0,2,1,11,4,2
575633,0,2,0,11,4,1
575911,0,2,0,19,0,2
576214,4,2,1,15,6,5
577140,3,2,1,10,0,6
577432,0,1,1,6,4,2
577604,0,3,0,5,0,5
577765,0,3,1,17,4,2
578549,0,0,1,2,4,4
578782,0,1,1,12,0,5
579430,0,1,0,11,4,2
579607,0,1,1,15,0,2
580354,0,3,0,15,4,4
580807,3,2,1,1,4,6
582166,3,3,0,15,0,0
582763,0,3,1,19,4,2
583602,0,2,1,10,3,5
584255,0,2,0,18,0,2
585072,0,3,0,15,4,5
585420,2,3,1,18,0,6
585507,3,1,1,7,0,2
585573,0,3,0,13,0,2
585590,3,3,0,15,0,1
586179,0,3,1,14,4,5
586272,0,3,1,17,0,6
586547,0,1,1,15,1,0
586714,3,3,1,19,4,2
587705,0,3,1,18,0,4
589275,0,3,1,12,0,6
590519,0,2,1,17,0,1
591102,0,2,0,7,4,1
591280,0,2,0,15,0,2
592100,0,1,1,10,1,6
592342,0,1,0,14,4,3
592850,0,2,0,18,0,1
593218,0,3,1,15,0,4
593292,0,3,0,8,4,2
954144,0,2,1,8,4,0
594092,0,3,1,15,0,6
594493,2,2,0,12,4,2
594641,0,1,1,10,0,2
594922,0,3,1,19,1,6
596434,0,2,0,14,4,4
596793,0,2,1,13,0,2
597055,0,3,0,18,0,0
597060,0,2,0,12,0,0
597061,0,2,1,18,4,0
598043,0,3,1,17,6,6
598224,0,3,0,10,4,4
598643,0,3,0,3,1,2
599446,0,3,1,17,0,6
599463,0,2,1,4,0,4
601497,0,1,0,2,0,2
601652,0,3,1,16,0,5
1139953,0,3,1,16,0,0
601921,0,3,0,11,0,2
602347,0,1,1,13,4,0
602597,0,2,1,8,4,6
602647,0,2,1,17,0,1
603238,0,2,0,12,0,4
603269,0,1,1,10,0,6
603425,0,3,1,5,4,5
603581,0,1,1,12,0,5
604316,0,3,1,14,0,2
604824,0,2,1,5,0,5
605520,0,3,0,11,0,5
605667,1,2,0,13,4,4
605758,0,3,1,15,0,0
606343,0,2,1,8,4,5
607674,0,1,1,10,4,6
608656,4,3,0,13,1,0
608668,0,3,1,15,0,2
609288,0,2,0,15,4,1
609322,1,2,0,12,0,5
609552,0,1,1,10,0,0
610033,0,3,1,19,4,5
611895,0,3,0,17,0,2
612818,0,3,1,12,0,2
612867,3,1,0,12,3,4
612969,0,0,0,9,0,4
613372,0,3,0,15,4,6
613674,1,3,0,15,0,2
614843,0,3,0,17,4,0
615389,0,3,1,14,4,1
615568,0,3,1,15,0,4
615890,0,2,0,11,3,4
616364,0,3,1,12,0,2
616443,0,3,1,10,0,3
616524,0,3,1,19,0,6
616614,0,2,0,15,1,2
617186,0,0,0,12,0,5
617254,0,3,1,15,6,1
618131,0,3,1,19,0,6
618505,2,1,0,15,0,2
618607,0,3,1,10,4,2
619075,0,3,1,0,0,4
619148,0,1,1,11,0,3
620306,0,1,0,10,4,1
620344,0,3,1,17,0,4
620401,0,3,0,14,4,0
620479,0,3,1,20,0,4
620694,0,2,0,16,0,1
684319,0,3,1,3,0,4
621276,0,3,0,13,4,0
621472,0,2,0,18,0,4
621543,0,2,0,11,4,0
622054,0,3,0,18,4,1
622502,4,3,0,15,4,4
622931,0,3,1,15,4,4
623182,0,3,1,20,1,1
624708,0,2,0,12,4,2
624749,1,3,0,19,0,5
625039,0,1,1,6,0,4
625220,1,3,0,14,0,0
625303,0,3,1,15,4,6
625563,1,2,1,16,4,5
625679,0,3,1,17,0,2
625986,0,3,1,11,4,6
626453,0,3,0,17,0,0
626507,0,1,0,12,0,2
626622,0,1,1,8,4,5
627641,0,1,1,13,4,4
628158,4,0,1,2,4,5
628471,0,1,1,17,6,4
628658,0,3,0,14,4,1
628811,0,3,0,19,4,2
628988,4,2,0,18,1,6
629227,0,3,0,14,0,5
629666,0,1,1,10,4,1
629689,0,1,0,11,0,2
629692,0,1,1,3,5,5
630429,0,3,1,16,0,2
631968,0,2,0,6,4,4
632240,0,1,1,12,0,0
632871,0,3,0,16,0,6
633053,0,3,0,19,0,4
633134,0,2,1,10,1,0
633385,0,2,0,14,0,4
633448,3,1,1,11,1,5
633708,0,3,1,15,0,6
633712,0,3,0,16,4,3
633793,0,2,0,17,0,1
634102,1,1,1,12,4,6
634569,0,2,0,16,0,2
634820,0,2,0,12,4,0
635539,0,2,0,16,3,1
635559,1,2,1,3,4,6
635591,0,1,0,8,0,1
635686,0,3,0,15,4,6
635729,0,1,0,8,0,0
635874,0,3,1,11,0,4
637197,0,2,1,15,4,1
637753,0,3,0,18,0,2
637866,0,1,0,13,0,0
638092,0,1,1,12,1,1
638423,1,3,1,15,0,6
638889,0,3,0,18,0,1
639147,2,3,0,16,0,5
639703,1,2,0,15,0,6
640203,0,3,1,15,0,0
641724,0,3,0,15,0,0
641988,0,2,0,18,0,6
642088,0,2,1,16,0,5
642209,0,2,1,14,0,0
642425,0,1,1,18,0,1
643161,0,3,0,19,0,6
643541,0,2,0,15,0,0
643729,0,1,0,13,4,5
643743,0,2,1,14,0,6
644692,0,3,0,10,4,0
645251,0,2,1,17,0,1
645254,1,0,0,6,4,5
645432,0,3,1,13,4,6
